,product_id,filter3_result
0,10121,28
1,10129,13
2,10130,2
3,10190,4
4,10221,19
5,10229,5
6,10290,3
7,10310,9
8,10410,9
9,10420,5
10,10512,1
11,10599,1
12,10611,1
13,10612,1
14,10613,1
15,10614,5
16,10619,28
17,10620,14
18,10631,2
19,10632,14
20,10639,14
21,10641,8
22,10649,12
23,10690,21
24,20110,1
25,20120,15
26,20130,27
27,20210,7
28,20220,19
29,20230,33
30,20311,1
31,20312,15
32,20319,27
33,20321,14
34,20322,11
35,20329,31
36,20410,10
37,20422,19
38,20430,1
39,20442,11
40,20450,12
41,20500,8
42,20610,7
43,20621,19
44,20622,6
45,20629,19
46,20630,6
47,20641,12
48,20649,22
49,20680,1
50,20690,17
51,20712,34
52,20714,46
53,20726,1
54,20727,31
55,20732,1
56,20734,1
57,20741,1
58,20742,1
59,20743,1
60,20745,1
61,20810,1
62,20850,1
63,20890,1
64,20910,31
65,21011,13
66,21012,17
67,21019,40
68,21020,18
69,21091,1
70,21092,1
71,21099,22
72,30111,32
73,30119,24
74,30191,1
75,30192,3
76,30194,1
77,30199,14
78,30211,7
79,30212,1
80,30214,1
81,30219,12
82,30221,5
83,30222,1
84,30223,9
85,30224,1
86,30229,6
87,30231,1
88,30232,8
89,30233,1
90,30234,2
91,30235,3
92,30236,1
93,30239,8
94,30241,1
95,30242,7
96,30243,7
97,30244,17
98,30245,5
99,30246,1
100,30247,4
101,30251,12
102,30253,2
103,30254,7
104,30256,1
105,30259,8
106,30269,1
107,30271,3
108,30279,4
109,30281,1
110,30282,4
111,30284,16
112,30285,17
113,30289,12
114,30311,1
115,30314,2
116,30319,20
117,30323,12
118,30326,1
119,30329,13
120,30331,1
121,30333,9
122,30339,11
123,30341,1
124,30342,12
125,30343,14
126,30344,1
127,30345,5
128,30349,13
129,30353,15
130,30354,24
131,30355,10
132,30356,1
133,30357,1
134,30363,1
135,30364,1
136,30366,21
137,30368,1
138,30369,4
139,30379,1
140,30381,1
141,30382,3
142,30383,3
143,30389,39
144,30390,2
145,30410,1
146,30420,1
147,30429,1
148,30431,9
149,30432,9
150,30433,1
151,30439,6
152,30441,7
153,30442,1
154,30443,10
155,30444,16
156,30445,1
157,30449,24
158,30451,1
159,30452,1
160,30453,2
161,30454,1
162,30459,8
163,30461,6
164,30469,11
165,30471,25
166,30473,1
167,30474,8
168,30475,1
169,30479,1
170,30481,24
171,30483,8
172,30484,11
173,30485,1
174,30486,1
175,30487,18
176,30489,33
177,30490,1
178,30491,4
179,30492,1
180,30493,1
181,30495,1
182,30499,22
183,30510,13
184,30520,1
185,30531,3
186,30532,1
187,30539,16
188,30541,25
189,30542,1
190,30549,24
191,30551,8
192,30559,26
193,30562,1
194,30563,1
195,30569,9
196,30571,2
197,30572,6
198,30579,8
199,30611,18
200,30613,1
201,30614,19
202,30615,2
203,30616,13
204,30617,53
205,30619,20
206,30621,2
207,30622,1
208,30624,6
209,30625,1
210,30626,1
211,30627,4
212,30629,2
213,30711,10
214,30719,11
215,30721,8
216,30729,19
217,30731,10
218,30739,29
219,30741,1
220,30749,25
221,30751,8
222,30759,17
223,30760,15
224,30771,11
225,30779,10
226,30781,3
227,30789,1
228,30791,3
229,30799,22
230,30811,5
231,30819,10
232,30821,10
233,30830,3
234,30890,16
235,40110,26
236,40120,32
237,40130,1
238,40140,18
239,40150,14
240,40210,78
241,40221,60
242,40229,24
243,40291,22
244,40299,44
245,40310,43
246,40390,40
247,40410,55
248,40490,24
249,40510,23
250,40590,22
251,40610,54
252,40620,35
253,40630,66
254,40690,73
255,40711,15
256,40719,9
257,40721,9
258,40811,11
259,40891,26
260,40899,1
261,40900,45
262,41000,12
263,50100,6
264,50290,1
265,50400,30
