,country_id,product_id,short_term,large_term,market_size,score,value_sqaure,value,concentration
44,8,20727,1,1,0,3,,,
70,8,70992,1,1,0,3,,,
112,8,110419,1,1,0,3,,,
117,8,120921,1,1,0,3,,,
120,8,121490,1,1,0,3,,,
121,8,130239,1,1,0,3,,,
131,8,152190,1,1,0,3,,,
165,8,200950,1,1,0,3,,,
172,8,220290,1,1,0,3,,,
175,8,220840,1,1,0,3,,,
179,8,251110,1,1,0,3,,,
183,8,251612,1,1,0,3,,,
185,8,253010,1,1,0,3,,,
191,8,282300,1,1,0,3,,,
192,8,282810,1,1,0,3,,,
194,8,285300,1,1,0,3,,,
201,8,300210,1,1,0,3,,,
209,8,310310,1,1,0,3,,,
213,8,320500,1,1,0,3,,,
253,8,350400,1,1,0,3,,,
261,8,381230,1,1,0,3,,,
266,8,382370,1,1,0,3,,,
268,8,382490,1,1,0,3,,,
269,8,390290,1,1,0,3,,,
272,8,390490,1,1,0,3,,,
275,8,390760,1,1,0,3,,,
278,8,390930,1,1,0,3,,,
279,8,391110,1,1,0,3,,,
291,8,392114,1,1,0,3,,,
311,8,401161,1,1,0,3,,,
312,8,401162,1,1,0,3,,,
340,8,440110,1,1,0,3,,,
341,8,440139,1,1,0,3,,,
342,8,440320,1,1,0,3,,,
343,8,440399,1,1,0,3,,,
344,8,440410,1,1,0,3,,,
345,8,440690,1,1,0,3,,,
346,8,440710,1,1,0,3,,,
347,8,440791,1,1,0,3,,,
350,8,441232,1,1,0,3,,,
354,8,441872,1,1,0,3,,,
355,8,441890,1,1,0,3,,,
356,8,441900,1,1,0,3,,,
358,8,442190,1,1,0,3,,,
396,8,520100,1,1,0,3,,,
405,8,520921,1,1,0,3,,,
409,8,520951,1,1,0,3,,,
412,8,521029,1,1,0,3,,,
418,8,521214,1,1,0,3,,,
423,8,540245,1,1,0,3,,,
433,8,540823,1,1,0,3,,,
478,8,600532,1,1,0,3,,,
479,8,600534,1,1,0,3,,,
490,8,610331,1,1,0,3,,,
506,8,610729,1,1,0,3,,,
591,8,630391,1,1,0,3,,,
626,8,680800,1,1,0,3,,,
631,8,690390,1,1,0,3,,,
633,8,690710,1,1,0,3,,,
634,8,690890,1,1,0,3,,,
657,8,720826,1,1,0,3,,,
658,8,720827,1,1,0,3,,,
668,8,722220,1,1,0,3,,,
669,8,730210,1,1,0,3,,,
678,8,731419,1,1,0,3,,,
681,8,731442,1,1,0,3,,,
683,8,731811,1,1,0,3,,,
704,8,740710,1,1,0,3,,,
705,8,740819,1,1,0,3,,,
706,8,740829,1,1,0,3,,,
730,8,820530,1,1,0,3,,,
737,8,820900,1,1,0,3,,,
760,8,840510,1,1,0,3,,,
773,8,841392,1,1,0,3,,,
786,8,841790,1,1,0,3,,,
804,8,842481,1,1,0,3,,,
818,8,843230,1,1,0,3,,,
819,8,843240,1,1,0,3,,,
825,8,843621,1,1,0,3,,,
839,8,844820,1,1,0,3,,,
840,8,844859,1,1,0,3,,,
845,8,845110,1,1,0,3,,,
855,8,845610,1,1,0,3,,,
857,8,845939,1,1,0,3,,,
957,8,851531,1,1,0,3,,,
990,8,852841,1,1,0,3,,,
991,8,852851,1,1,0,3,,,
1010,8,853910,1,1,0,3,,,
1023,8,870110,1,1,0,3,,,
1025,8,870190,1,1,0,3,,,
1031,8,870390,1,1,0,3,,,
1050,8,871491,1,1,0,3,,,
1051,8,871492,1,1,0,3,,,
1056,8,900190,1,1,0,3,,,
1074,8,902121,1,1,0,3,,,
1089,8,903120,1,1,0,3,,,
1092,8,903281,1,1,0,3,,,
1105,8,920110,1,1,0,3,,,
1124,8,940600,1,1,0,3,,,
1170,12,10290,1,1,0,3,,,
1171,12,10641,1,1,0,3,,,
1172,12,20120,1,1,0,3,,,
1173,12,20220,1,1,0,3,,,
1174,12,20622,1,1,0,3,,,
1175,12,20690,1,1,0,3,,,
1176,12,30111,1,1,0,3,,,
1177,12,30199,1,1,0,3,,,
1178,12,30223,1,1,0,3,,,
1179,12,30245,1,1,0,3,,,
1180,12,30254,1,1,0,3,,,
1181,12,30259,1,1,0,3,,,
1182,12,30319,1,1,0,3,,,
1183,12,30333,1,1,0,3,,,
1184,12,30339,1,1,0,3,,,
1185,12,30349,1,1,0,3,,,
1186,12,30354,1,1,0,3,,,
1187,12,30462,1,1,0,3,,,
1188,12,30481,1,1,0,3,,,
1189,12,30483,1,1,0,3,,,
1190,12,30487,1,1,0,3,,,
1191,12,30489,1,1,0,3,,,
1192,12,30491,1,1,0,3,,,
1193,12,30549,1,1,0,3,,,
1194,12,30559,1,1,0,3,,,
1195,12,30619,1,1,0,3,,,
1196,12,30621,1,1,0,3,,,
1197,12,30627,1,1,0,3,,,
1198,12,30719,1,1,0,3,,,
1199,12,30749,1,1,0,3,,,
1200,12,30890,1,1,0,3,,,
1201,12,40150,1,1,0,3,,,
1202,12,40210,1,1,0,3,,,
1203,12,40221,1,1,0,3,,,
1204,12,40229,1,1,0,3,,,
1205,12,40299,1,1,0,3,,,
1206,12,40390,1,1,0,3,,,
1207,12,40410,1,1,0,3,,,
1208,12,40490,1,1,0,3,,,
1209,12,40811,1,1,0,3,,,
1210,12,40891,1,1,0,3,,,
1211,12,60110,1,1,0,3,,,
1212,12,60120,1,1,0,3,,,
1213,12,60210,1,1,0,3,,,
1214,12,60220,1,1,0,3,,,
1215,12,60240,1,1,0,3,,,
1216,12,60290,1,1,0,3,,,
1217,12,60390,1,1,0,3,,,
1218,12,70110,1,1,0,3,,,
1219,12,70690,1,1,0,3,,,
1220,12,70890,1,1,0,3,,,
1221,12,70959,1,1,0,3,,,
1222,12,70991,1,1,0,3,,,
1223,12,71021,1,1,0,3,,,
1224,12,71080,1,1,0,3,,,
1225,12,71090,1,1,0,3,,,
1226,12,71140,1,1,0,3,,,
1227,12,71190,1,1,0,3,,,
1228,12,71220,1,1,0,3,,,
1229,12,71290,1,1,0,3,,,
1230,12,71310,1,1,0,3,,,
1231,12,71320,1,1,0,3,,,
1232,12,71331,1,1,0,3,,,
1233,12,71340,1,1,0,3,,,
1234,12,80111,1,1,0,3,,,
1235,12,80211,1,1,0,3,,,
1236,12,80212,1,1,0,3,,,
1237,12,80310,1,1,0,3,,,
1238,12,80430,1,1,0,3,,,
1239,12,80620,1,1,0,3,,,
1240,12,80910,1,1,0,3,,,
1241,12,81090,1,1,0,3,,,
1242,12,81120,1,1,0,3,,,
1243,12,81190,1,1,0,3,,,
1244,12,81310,1,1,0,3,,,
1245,12,81320,1,1,0,3,,,
1246,12,81340,1,1,0,3,,,
1247,12,90111,1,1,0,3,,,
1248,12,90112,1,1,0,3,,,
1249,12,90121,1,1,0,3,,,
1250,12,90122,1,1,0,3,,,
1251,12,90230,1,1,0,3,,,
1252,12,90411,1,1,0,3,,,
1253,12,90412,1,1,0,3,,,
1254,12,90421,1,1,0,3,,,
1255,12,90422,1,1,0,3,,,
1256,12,90620,1,1,0,3,,,
1257,12,90710,1,1,0,3,,,
1258,12,90811,1,1,0,3,,,
1259,12,90831,1,1,0,3,,,
1260,12,90921,1,1,0,3,,,
1261,12,90931,1,1,0,3,,,
1262,12,91011,1,1,0,3,,,
1263,12,91012,1,1,0,3,,,
1264,12,91030,1,1,0,3,,,
1265,12,91091,1,1,0,3,,,
1266,12,100111,1,1,0,3,,,
1267,12,100510,1,1,0,3,,,
1268,12,100620,1,1,0,3,,,
1269,12,100630,1,1,0,3,,,
1270,12,100640,1,1,0,3,,,
1271,12,100710,1,1,0,3,,,
1272,12,100790,1,1,0,3,,,
1273,12,100830,1,1,0,3,,,
1274,12,110100,1,1,0,3,,,
1275,12,110290,1,1,0,3,,,
1276,12,110311,1,1,0,3,,,
1277,12,110319,1,1,0,3,,,
1278,12,110412,1,1,0,3,,,
1279,12,110429,1,1,0,3,,,
1280,12,110630,1,1,0,3,,,
1281,12,110720,1,1,0,3,,,
1282,12,110813,1,1,0,3,,,
1283,12,110814,1,1,0,3,,,
1284,12,110900,1,1,0,3,,,
1285,12,120110,1,1,0,3,,,
1286,12,120190,1,1,0,3,,,
1287,12,120241,1,1,0,3,,,
1288,12,120242,1,1,0,3,,,
1289,12,120600,1,1,0,3,,,
1290,12,120760,1,1,0,3,,,
1291,12,120890,1,1,0,3,,,
1292,12,120930,1,1,0,3,,,
1293,12,120991,1,1,0,3,,,
1294,12,121229,1,1,0,3,,,
1295,12,121299,1,1,0,3,,,
1296,12,121410,1,1,0,3,,,
1297,12,130120,1,1,0,3,,,
1298,12,130190,1,1,0,3,,,
1299,12,140110,1,1,0,3,,,
1300,12,140190,1,1,0,3,,,
1301,12,150710,1,1,0,3,,,
1302,12,150790,1,1,0,3,,,
1303,12,150990,1,1,0,3,,,
1304,12,151000,1,1,0,3,,,
1305,12,151110,1,1,0,3,,,
1306,12,151190,1,1,0,3,,,
