cve_mun,NOMGEO
14039,Guadalajara
09016,Miguel Hidalgo
19039,Monterrey
09015,Cuauhtémoc
24028,San Luis Potosí
09014,Benito Juárez
31050,Mérida
22014,Querétaro
11020,León
21114,Puebla
02004,Tijuana
09007,Iztapalapa
26030,Hermosillo
14120,Zapopan
09006,Iztacalco
09002,Azcapotzalco
15104,Tlalnepantla de Baz
01001,Aguascalientes
15033,Ecatepec de Morelos
15106,Toluca
09010,Álvaro Obregón
05035,Torreón
08019,Chihuahua
09005,Gustavo A. Madero
07101,Tuxtla Gutiérrez
19019,San Pedro Garza García
16053,Morelia
15109,Tultitlán
19026,Guadalupe
08037,Juárez
02002,Mexicali
15057,Naucalpan de Juárez
11007,Celaya
05030,Saltillo
19006,Apodaca
19046,San Nicolás de los Garza
27004,Centro
30193,Veracruz
09012,Tlalpan
25006,Culiacán
15121,Cuautitlán Izcalli
09017,Venustiano Carranza
28032,Reynosa
14098,San Pedro Tlaquepaque
09003,Coyoacán
26018,Cajeme
11017,Irapuato
10005,Durango
30039,Coatzacoalcos
18017,Tepic
23005,Benito Juárez
17007,Cuernavaca
04003,Carmen
02001,Ensenada
25001,Ahome
15058,Nezahualcóyotl
09004,Cuajimalpa de Morelos
10007,Gómez Palacio
25012,Mazatlán
22016,San Juan del Río
19048,Santa Catarina
21156,Tehuacán
30087,Xalapa
12001,Acapulco de Juárez
03003,La Paz
04002,Campeche
28022,Matamoros
20067,Oaxaca de Juárez
15013,Atizapán de Zaragoza
11027,Salamanca
06002,Colima
13048,Pachuca de Soto
30044,Córdoba
07089,Tapachula
22011,El Marqués
19021,General Escobedo
16102,Uruapan
28038,Tampico
14097,Tlajomulco de Zúñiga
30118,Orizaba
28041,Victoria
14101,Tonalá
05018,Monclova
03008,Los Cabos
28027,Nuevo Laredo
05027,Ramos Arizpe
22006,Corregidora
17011,Jiutepec
15054,Metepec
14067,Puerto Vallarta
09013,Xochimilco
14070,El Salto
15051,Lerma
16108,Zamora
32056,Zacatecas
08017,Cuauhtémoc
06007,Manzanillo
26043,Nogales
23004,Othón P. Blanco
09011,Tláhuac
28003,Altamira
32017,Guadalupe
12029,Chilpancingo de los Bravo
32010,Fresnillo
26042,Navojoa
07019,Comitán de Domínguez
15025,Chalco
14093,Tepatitlán de Morelos
11037,Silao de la Victoria
17006,Cuautla
15070,La Paz
13077,Tulancingo de Bravo
15081,Tecámac
21132,San Martín Texmelucan
26029,Guaymas
30108,Minatitlán
13069,Tizayuca
21041,Cuautlancingo
16052,Lázaro Cárdenas
15099,Texcoco
23008,Solidaridad
20079,Salina Cruz
01005,Jesús María
24013,Ciudad Valles
30028,Boca del Río
30131,Poza Rica de Hidalgo
15039,Ixtapaluca
21119,San Andrés Cholula
08021,Delicias
11031,San Francisco del Rincón
24035,Soledad de Graciano Sánchez
15031,Chimalhuacán
05025,Piedras Negras
07078,San Cristóbal de las Casas
21140,San Pedro Cholula
29005,Apizaco
25011,Guasave
